Fold,Mean absolute error,Pearson correlation,Spearman correlation,Epoch,train NLL,test NLL
3,0.14344312995672226,0.9773966670036316,0.979094468208232,0,-0.2586406499147415,-0.27001264691352844
3,0.15218421816825867,0.9734534323215485,0.9743171564520938,1,-0.17254796028137206,-0.13770745694637299
3,0.14569183439016342,0.9785801470279694,0.9797393718262735,2,-0.318423131108284,-0.22681963443756104
3,0.14904965460300446,0.9796521365642548,0.9807088788342966,3,-0.24449769631028176,-0.20127926766872406
3,0.1258811578154564,0.9810421168804169,0.9817520715656859,4,-0.5162620365619659,-0.27491453289985657
3,0.13227181881666183,0.9805981814861298,0.9819831121021473,5,-0.3117458462715149,-0.3397273123264313
3,0.1375727280974388,0.9810795783996582,0.9821472145625169,6,-0.29194653034210205,-0.3047899901866913
3,0.14827225357294083,0.980315089225769,0.982102706072338,7,-0.17252317816019058,-0.21380679309368134
3,0.12332706153392792,0.9818636775016785,0.9827327222072229,8,-0.38285236060619354,-0.4130503535270691
3,0.11822402104735374,0.9825177490711212,0.9835723014875444,9,-0.3275675356388092,-0.42897310853004456
3,0.11961636319756508,0.9822844564914703,0.9832966946985364,10,-0.40854108035564424,-0.3675073981285095
3,0.12353962287306786,0.9818872511386871,0.982566071079752,11,-0.4420595407485962,-0.3962823450565338
3,0.12613672018051147,0.9823844134807587,0.9836189691382866,12,-0.32398595213890075,-0.4031992256641388
3,0.12057654932141304,0.9832164943218231,0.984153768170159,13,-0.15583195686340331,-0.4252319931983948
3,0.13538604229688644,0.9823559820652008,0.9828945920436696,14,-0.5185554087162018,-0.1576586663722992
3,0.11992787197232246,0.9832131862640381,0.9842369934810181,15,-0.5374236345291138,-0.3662627041339874
3,0.12358127161860466,0.9831917583942413,0.9839290127271676,16,-0.3823289155960083,-0.3841232359409332
3,0.11567022651433945,0.9832302033901215,0.9836940547499465,17,-0.42932540774345396,-0.4526793360710144
3,0.12033914774656296,0.9838562309741974,0.9847142434428255,18,-0.3008612424135208,-0.38158875703811646
3,0.11778979375958443,0.9835608601570129,0.9848432766064,19,-0.438483738899231,-0.44777095317840576
3,0.11525556445121765,0.983261376619339,0.9845549916892391,20,-0.5029115051031112,-0.459345281124115
3,0.12541953474283218,0.9834007918834686,0.9842433826133075,21,-0.4878342390060425,-0.3455537259578705
3,0.11578409746289253,0.9844333529472351,0.9846066952418211,22,-0.46948242783546446,-0.42555510997772217
3,0.11592767760157585,0.9841172695159912,0.9848394207265418,23,-0.5422498047351837,-0.44191452860832214
3,0.12539207190275192,0.983892410993576,0.9847086909758298,24,-0.5452840089797973,-0.2946995198726654
3,0.11587635427713394,0.9839690029621124,0.9849626430212355,25,-0.5588113129138946,-0.3590327203273773
3,0.11403283849358559,0.9847024977207184,0.9851883624301883,26,-0.5423548340797424,-0.4587511420249939
3,0.11031519249081612,0.9849282205104828,0.9851943351309946,27,-0.5482225358486176,-0.5012709498405457
3,0.11211396753787994,0.9848982095718384,0.9853499083727268,28,-0.5379758179187775,-0.4830317795276642
3,0.11191865056753159,0.9838602840900421,0.9852024441034304,29,-0.5165723025798797,-0.4352375566959381
