Fold,Mean absolute error,Pearson correlation,Spearman correlation,Epoch,train NLL,test NLL
4,0.15714697539806366,0.9817123711109161,0.9821341173863902,0,-0.17509212642908095,-0.17960013449192047
4,0.16300221532583237,0.9813472628593445,0.9833867827874401,1,-0.25195365101099015,-0.1355876922607422
4,0.12869267910718918,0.984314352273941,0.9846602298905716,2,-0.3179153084754944,-0.35325053334236145
4,0.12956426292657852,0.9836306273937225,0.984310407984922,3,-0.42539980411529543,-0.36092305183410645
4,0.14010442793369293,0.9848980903625488,0.9855104005320083,4,-0.36829679906368257,-0.3173103928565979
4,0.1247967854142189,0.9857966601848602,0.9860577430098874,5,-0.46627599000930786,-0.36811140179634094
4,0.1217750832438469,0.9861488938331604,0.9863444782643692,6,-0.2823615163564682,-0.4356386661529541
4,0.14921193569898605,0.9859157800674438,0.9860433022245569,7,-0.37712551951408385,-0.19744472205638885
4,0.11527878791093826,0.9868155717849731,0.9866189563922381,8,-0.4905059337615967,-0.457965612411499
4,0.12487177923321724,0.9860805869102478,0.9862150007145434,9,-0.42614143192768095,-0.38335707783699036
4,0.13456706702709198,0.9862164556980133,0.9865980065451705,10,-0.4774476885795593,-0.31048375368118286
4,0.11736839264631271,0.9871655106544495,0.9874877478961963,11,-0.38298895955085754,-0.45513343811035156
4,0.13412746042013168,0.9871650040149689,0.9872540335759884,12,-0.379270413517952,-0.3373299539089203
4,0.11174943670630455,0.9878602921962738,0.9878180693408904,13,-0.501660418510437,-0.4834502339363098
4,0.11386185511946678,0.9878238439559937,0.9878197635792563,14,-0.4591466307640076,-0.4949289858341217
4,0.11830056458711624,0.9864444732666016,0.9871007340350976,15,-0.3486007869243622,-0.4296976923942566
4,0.12930750846862793,0.986951470375061,0.98742804197973,16,-0.4780546486377716,-0.4158051609992981
4,0.1214727833867073,0.9878327548503876,0.9877346945038096,17,-0.39813819229602815,-0.43361663818359375
4,0.11602845042943954,0.9878275394439697,0.9882806449144586,18,-0.4747396051883698,-0.4744755029678345
4,0.11328407004475594,0.9871937036514282,0.9872734804006429,19,-0.5177855670452118,-0.47443538904190063
4,0.12479288876056671,0.987015962600708,0.9874024952514444,20,-0.3866692125797272,-0.4352467358112335
4,0.11526396125555038,0.9875984787940979,0.98799073912728,21,-0.4509390711784363,-0.4563313126564026
4,0.11770755052566528,0.9873268008232117,0.9878050321425262,22,-0.4143929362297058,-0.42774292826652527
4,0.11267795786261559,0.988581120967865,0.9885359286280093,23,-0.5404443681240082,-0.5056778788566589
4,0.10875727981328964,0.9882544875144958,0.9883815085099361,24,-0.4608942776918411,-0.5187020301818848
4,0.11086336895823479,0.9878592491149902,0.9880637921541906,25,-0.4369784355163574,-0.5228457450866699
4,0.11182830855250359,0.9884549081325531,0.9886332967599216,26,-0.5447351634502411,-0.4942846894264221
4,0.11401540786027908,0.9880219399929047,0.9886011875159533,27,-0.388468936085701,-0.4113887548446655
4,0.10959220677614212,0.9886449873447418,0.9886717699137435,28,-0.5619181275367737,-0.5006846785545349
4,0.1134934313595295,0.988885372877121,0.9889014494911375,29,-0.4061710000038147,-0.469057559967041
