Fold,Mean absolute error,Pearson correlation,Spearman correlation,Epoch,train NLL,test NLL
1,0.17730723321437836,0.9799663126468658,0.9803409045076701,0,-0.09877828918397427,-0.06721695512533188
1,0.14425688236951828,0.9812411665916443,0.9816329904978949,1,-0.25979370176792144,-0.31039005517959595
1,0.15641576796770096,0.9827372133731842,0.982903414296785,2,-0.06479656845331191,-0.25362271070480347
1,0.11914411559700966,0.9840438067913055,0.9847110507743031,3,-0.5507443010807037,-0.46558138728141785
1,0.12234652787446976,0.9844640493392944,0.9854989457291777,4,-0.40592993795871735,-0.43207070231437683
1,0.11398584023118019,0.985491156578064,0.9860452623228328,5,-0.5363913953304291,-0.5113202929496765
1,0.11118185892701149,0.9861765205860138,0.9864437443708973,6,-0.5739800006151199,-0.561130702495575
1,0.10633105039596558,0.9864766001701355,0.9869874272365999,7,-0.5666443169116974,-0.572299063205719
1,0.12125198170542717,0.986721009016037,0.9870094597342478,8,-0.4696983188390732,-0.5049957633018494
1,0.10821918770670891,0.9870785176753998,0.9872877617199041,9,-0.6560473620891571,-0.5770930647850037
1,0.12291187793016434,0.9860086143016815,0.9862698904598514,10,-0.6210262298583984,-0.4185006618499756
1,0.12295445427298546,0.9871802031993866,0.987706525697622,11,-0.5131138682365417,-0.39956581592559814
1,0.11093385145068169,0.9875696897506714,0.987891997422113,12,-0.5585195779800415,-0.5397155284881592
1,0.11133154109120369,0.9869756400585175,0.987966061162429,13,-0.4640017464756966,-0.5342944264411926
1,0.1047232560813427,0.9876594245433807,0.9879083346451869,14,-0.38973451498895884,-0.6064589619636536
1,0.1007346548140049,0.9876130223274231,0.988186324443448,15,-0.5265666127204895,-0.644237220287323
1,0.11541962251067162,0.9861854016780853,0.9881771782964244,16,-0.6056339323520661,-0.5431771874427795
1,0.10919424518942833,0.9879262447357178,0.9883359480054651,17,-0.5964377462863922,-0.583099365234375
1,0.10970626026391983,0.9880504012107849,0.9884302319797575,18,-0.6434565722942353,-0.5135821104049683
1,0.1070132926106453,0.9875906705856323,0.9880024606682902,19,-0.7943438768386841,-0.6026172637939453
1,0.09937847778201103,0.9885471165180206,0.9888500523809192,20,-0.5819235444068909,-0.6722028851509094
1,0.11479280143976212,0.9882100522518158,0.9884694578010942,21,-0.6351065039634705,-0.50232994556427
1,0.0987582765519619,0.9886478781700134,0.9888575714326807,22,-0.57929847240448,-0.6624993085861206
1,0.1026480495929718,0.9876189529895782,0.9885430550244081,23,-0.7056266307830811,-0.5948275327682495
1,0.10067019611597061,0.9885057806968689,0.9888935236564784,24,-0.7430514574050904,-0.6616465449333191
1,0.10436580702662468,0.9875017702579498,0.9890491006969966,25,-0.6027318954467773,-0.6200674772262573
1,0.09561678394675255,0.9884144067764282,0.9888165448709896,26,-0.6365777015686035,-0.6998348236083984
1,0.10340248048305511,0.9886185228824615,0.989288990323893,27,-0.55378058552742,-0.6177200078964233
1,0.10061000660061836,0.9886723458766937,0.9890973300422627,28,-0.7717737495899201,-0.670688807964325
1,0.09886059910058975,0.9888688623905182,0.9892959078549595,29,-0.599994707107544,-0.655860185623169
