Fold,Mean absolute error,Pearson correlation,Spearman correlation,Epoch,train NLL,test NLL
4,0.21726545691490173,0.974054366350174,0.9778351843187265,0,0.38557266592979433,0.3223751187324524
4,0.1717754527926445,0.9823051691055298,0.9828050478988917,1,-0.053596414625644684,0.09108494967222214
4,0.18290580064058304,0.9781848192214966,0.9828687005554164,2,0.13496399745345117,0.04699261114001274
4,0.14379587769508362,0.9815863072872162,0.9823506220842502,3,0.06209525316953659,-0.05446876958012581
4,0.14746158570051193,0.9821162223815918,0.982747747439215,4,-0.07078670337796211,-0.08437599986791611
4,0.15523087978363037,0.9813872873783112,0.9826543833917751,5,0.07191462218761444,-0.0568375326693058
4,0.13965288549661636,0.981761634349823,0.9823748301515434,6,-0.053522273898124695,-0.16338643431663513
4,0.1376066356897354,0.98220294713974,0.9824671885929543,7,-0.21216489374637604,-0.22141355276107788
4,0.1469627544283867,0.982208639383316,0.9825391783554165,8,-0.21362471859902143,-0.15448182821273804
4,0.1376304253935814,0.9817995429039001,0.9822626311973646,9,0.07176166623830796,-0.17809055745601654
4,0.14036262035369873,0.9825650155544281,0.9824710435483603,10,-0.24126475304365158,-0.2643345892429352
4,0.14509091526269913,0.9824617505073547,0.98264804246931,11,-0.19068837761878968,-0.21745574474334717
4,0.1365003138780594,0.982598751783371,0.9823888197971418,12,-0.23322090804576873,-0.323709636926651
4,0.1339718922972679,0.9822714030742645,0.982329022096023,13,-0.28793987780809405,-0.324625700712204
4,0.137037456035614,0.9827419221401215,0.9825990066514196,14,-0.17836733013391495,-0.30328667163848877
4,0.13717108219861984,0.9827347695827484,0.9825432780698959,15,-0.39554073214530944,-0.3052276372909546
4,0.13294443488121033,0.982719749212265,0.982577513745287,16,-0.25145734250545504,-0.3514515459537506
4,0.14327869564294815,0.9828736484050751,0.9828786590592589,17,-0.34831882268190384,-0.261885404586792
4,0.1361916959285736,0.9824466705322266,0.9826446236237234,18,-0.3717117518186569,-0.3633393347263336
4,0.13848921656608582,0.9825043678283691,0.9829477577361229,19,-0.4183852970600128,-0.29524707794189453
4,0.13599684089422226,0.9830944538116455,0.9829971836414568,20,-0.28041118998080494,-0.34071195125579834
4,0.13276569545269012,0.98362997174263,0.9836078423621845,21,-0.4511657774448395,-0.3311833441257477
4,0.1279381737112999,0.9827006757259369,0.9824341804701142,22,-0.46563097834587097,-0.38977620005607605
4,0.1770080327987671,0.9832167327404022,0.9834474524429571,23,-0.3783616006374359,-0.03895490616559982
4,0.14763850718736649,0.9836430549621582,0.9837343406729541,24,-0.2802076503634453,-0.2073451578617096
4,0.12939464300870895,0.9839311242103577,0.9838390173070057,25,-0.3849219612777233,-0.3970947861671448
4,0.12657593935728073,0.984411209821701,0.9844350323617201,26,-0.2104753500316292,-0.4041398763656616
4,0.15456480532884598,0.9835145771503448,0.9841762188229333,27,-0.3118046551942825,-0.172549307346344
4,0.12928099930286407,0.9842940866947174,0.984607748132265,28,-0.3313363030552864,-0.37360668182373047
4,0.12203290686011314,0.9844568371772766,0.9843880423840962,29,-0.42707163095474243,-0.4391392171382904
