Fold,Mean absolute error,Pearson correlation,Spearman correlation,Epoch,train NLL,test NLL
3,0.17362982779741287,0.9720515012741089,0.9732475776909604,0,0.1275637298822403,0.1410580575466156
3,0.17259900271892548,0.9727156758308411,0.9744521276706499,1,0.13761574774980545,0.1399426907300949
3,0.16696767508983612,0.9737652540206909,0.9746554405038124,2,0.12187429666519164,0.12728920578956604
3,0.18440019339323044,0.9737659096717834,0.9748946592902143,3,0.15681923627853395,0.14014233648777008
3,0.18969712406396866,0.974180668592453,0.9751681182897568,4,0.11659670025110244,0.1460169106721878
3,0.15891829878091812,0.9738194346427917,0.9746716043521779,5,0.14880386888980865,0.12175088375806808
3,0.15627174079418182,0.9738495051860809,0.9749349184351672,6,0.1094435453414917,0.11992073059082031
3,0.18055492639541626,0.974449872970581,0.9755379317767515,7,0.13119354099035263,0.13363313674926758
3,0.15885309875011444,0.9747271835803986,0.9758149304750752,8,0.10827825367450714,0.1195109561085701
3,0.1755114570260048,0.9748288094997406,0.9756799632056519,9,0.12010258585214614,0.12929849326610565
3,0.16053801029920578,0.9749613404273987,0.9756453528280449,10,0.1062738537788391,0.11980963498353958
3,0.14666035771369934,0.9755981266498566,0.9764185338572084,11,0.11154342889785766,0.11103574186563492
3,0.161106675863266,0.9757526516914368,0.9765915086276469,12,0.09601153433322906,0.11921602487564087
3,0.19350139796733856,0.9761200845241547,0.9767708493661622,13,0.11480121612548828,0.13990411162376404
3,0.15141575783491135,0.975986897945404,0.9767306133494107,14,0.1106330156326294,0.11383703351020813
3,0.14971840381622314,0.9761379659175873,0.9768598045148337,15,0.10448042303323746,0.11104361712932587
3,0.1547219306230545,0.9757381677627563,0.9769488251245855,16,0.1222154140472412,0.11302832514047623
3,0.14543308317661285,0.9757750034332275,0.9770677252136524,17,0.1215861201286316,0.10919438302516937
3,0.14832983165979385,0.9764215648174286,0.9771181138516392,18,0.11536513715982437,0.11102671176195145
3,0.15485823899507523,0.9762554168701172,0.97738808713579,19,0.1367051348090172,0.11626791208982468
3,0.14760391414165497,0.9765293896198273,0.9774880738695882,20,0.10117868036031723,0.10889417678117752
3,0.14340662956237793,0.9766029417514801,0.9773430156687677,21,0.11582714170217515,0.10785162448883057
3,0.1621401235461235,0.9761370420455933,0.9775115678323686,22,0.12495185732841492,0.12316258251667023
3,0.15053552389144897,0.9769840836524963,0.9778025054497171,23,0.1217768132686615,0.11033527553081512
3,0.15291353315114975,0.9767045676708221,0.9775504580634927,24,0.10893138945102691,0.11488421261310577
3,0.15115954726934433,0.9770880937576294,0.9779328458421546,25,0.12215874195098878,0.11048044264316559
3,0.1501404047012329,0.977076530456543,0.9778647510038591,26,0.10078887939453125,0.11159900575876236
3,0.14407257735729218,0.9773244559764862,0.978094067890785,27,0.14333422780036925,0.10924887657165527
3,0.14616810530424118,0.9768960475921631,0.9780155004827946,28,0.10265402346849442,0.1077900230884552
3,0.1442355290055275,0.9771131873130798,0.9779532974289225,29,0.10714746564626694,0.10766284912824631
